nama_penyakit,jenis_patogen,kategori_penyakit,gejala_umum,gejala_pernapasan,gejala_pencernaan,gejala_saraf,cara_penularan,pengobatan_suportif,masa_inkubasi,program_vaksinasi,pencegahan,tingkat_kematian,tingkat_risiko,menular_ke_manusia,sumber,text,label
Avian Encephalomyelitis,Virus (Famili Picornaviridae),Virus,Ayam Terlihat Sayu; Produksi Telur Menurun,-,-,Gemetar/Tremor; Kelumpuhan; Gangguan Saraf; Kehilangan Keseimbangan,Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Penularan vertikal melalui telur,-,11 hari,Vaksin tersedia,Biosekuriti ketat,Sedang (20%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu produksi telur menurun - - gemetar/tremor kelumpuhan gangguan saraf kehilangan keseimbangan,bakteri_lain
Avian Influenza (AI),Virus (Influenza A H5/H7),Virus,Nafsu makan menurun; Pembengkakan Muka; Kerabang Lembek; Produksi Telur Menurun; Warna Biru,Batuk; Bersin; Ngorok; Cairan Hidung Mata; Mulut Berlendir,Diare,Gemetar/Tremor; Kelumpuhan; Tortikolis (leher terpuntir); Gangguan Saraf,"Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (kandang, peralatan, sepatu, kendaraan, rak telur); Media lingkungan (pakan, air minum, debu); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur; Vektor serangga; Lalu lintas / perdagangan unggas","Tidak ada pengobatan spesifik; Stamping out / eradikasi; Karantina unggas terinfeksi; Desinfeksi kandang dan peralatan; Peningkatan biosekuriti; Terapi suportif (vitamin, mineral, antibiotik, pemanas tambahan)",-,Vaksin tersedia; Vaksin inaktif; Program vaksinasi rutin dianjurkan,Biosekuriti ketat; Desinfeksi rutin; Pembatasan lalu lintas unggas; Karantina wilayah; Pelaporan ke dinas terkait; Depopulasi / stamping out,Sangat tinggi (100%),Sangat tinggi,Ya,Manual Penyakit Unggas Kementan,nafsu makan menurun pembengkakan muka kerabang lembek produksi telur menurun warna biru diare batuk bersin ngorok cairan hidung mata mulut berlendir gemetar/tremor kelumpuhan tortikolis (leher terpuntir) gangguan saraf,bakteri_lain
Cacar Unggas,Virus (Famili Poxviridae),Virus,Pembengkakan Muka; Lesu/Lemah; Penurunan Berat Badan,Sesak Napas,-,-,Media lingkungan (pakan); Hewan carrier (unggas air / burung liar); Vektor serangga,Tidak ada pengobatan spesifik,-,Vaksin tersedia; Vaksin aktif (live); Program vaksinasi rutin dianjurkan,Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,pembengkakan muka lesu/lemah penurunan berat badan - sesak napas -,bakteri_lain
Chicken Anemia Syndrome (CAS),Virus (Chicken Anemia Virus),Virus,Nafsu makan menurun; Anemia,-,Penurunan Nafsu Makan,-,Media lingkungan (pakan); Penularan vertikal melalui telur,Terapi suportif (antibiotik),2–4 hari; 3–4 hari,Vaksin tersedia; Vaksin inaktif; Monitoring titer antibodi pasca vaksinasi,Pelaporan ke dinas terkait,Rendah (6%),Sedang,Tidak,Manual Penyakit Unggas Kementan,nafsu makan menurun anemia penurunan nafsu makan - -,virus
Egg Drop Syndrome 1976 (EDS'76),Virus (Adenovirus),Virus,Nafsu makan menurun; Produksi Telur Menurun; Lesu/Lemah; Anemia,-,Diare,-,Paparan sekresi/ekskresi unggas terinfeksi; Penularan vertikal melalui telur,Tidak ada pengobatan spesifik,-,Vaksin tersedia,Kontrol unggas air; Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,nafsu makan menurun produksi telur menurun lesu/lemah anemia diare - -,virus
Helicopter Disease,Virus (Reovirus),Virus,Anemia,-,Diare,-,Penularan vertikal melalui telur,Tidak ada pengobatan spesifik; Terapi suportif (vitamin),-,Vaksin tersedia; Vaksin inaktif,Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,anemia diare - -,bakteri_lain
Inclusion Body Hepatitis (IBH),Virus (Adenovirus),Virus,Ayam Terlihat Sayu; Produksi Telur Menurun; Lesu/Lemah; Anemia,-,-,-,Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang); Penularan vertikal melalui telur,Desinfeksi kandang dan peralatan; Terapi suportif (antibiotik),-,Vaksin tersedia; Program vaksinasi rutin dianjurkan; Monitoring titer antibodi pasca vaksinasi,Desinfeksi rutin; Pelaporan ke dinas terkait,Sedang (10%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu produksi telur menurun lesu/lemah anemia - - -,bakteri_lain
Infectious Bronchitis (IB),Virus (Coronavirus),Virus,Produksi Telur Menurun; Anemia,Batuk; Bersin; Ngorok; Cairan Hidung Mata,-,-,"Paparan sekresi/ekskresi unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (peralatan, kendaraan); Media lingkungan (air minum); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur","Tidak ada pengobatan spesifik; Peningkatan biosekuriti; Terapi suportif (vitamin, mineral, antibiotik, pemanas tambahan)",-,Vaksin tersedia; Program vaksinasi rutin dianjurkan,Biosekuriti ketat; Pelaporan ke dinas terkait,-,Sangat tinggi,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun anemia - batuk bersin ngorok cairan hidung mata -,bakteri_lain
Infectious Bursal Disease (IBD),Virus (Birnavirus),Virus,Ayam Terlihat Sayu; Nafsu makan menurun; Lesu/Lemah; Anemia; Bulu Kusut,-,Diare; Feses Putih,Gemetar/Tremor,"Kontak langsung antar unggas terinfeksi; Benda terkontaminasi (kandang, peralatan); Media lingkungan (pakan); Penularan vertikal melalui telur; Vektor serangga","Tidak ada pengobatan spesifik; Desinfeksi kandang dan peralatan; Terapi suportif (vitamin, mineral, antibiotik)",-,Vaksin tersedia; Monitoring titer antibodi pasca vaksinasi,Desinfeksi rutin; Pelaporan ke dinas terkait,Tinggi (>40%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu nafsu makan menurun lesu/lemah anemia bulu kusut diare feses putih - gemetar/tremor,bakteri_lain
Infectious Laryngo Tracheitis (ILT),Virus (Herpesvirus),Virus,Produksi Telur Menurun; Lesu/Lemah,Batuk; Ngorok; Cairan Hidung Mata; Mulut Berlendir,-,-,"Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang, peralatan); Hewan carrier (unggas air / burung liar)",Tidak ada pengobatan spesifik; Desinfeksi kandang dan peralatan,6–12 hari; 2–4 hari; 6–8 hari,Vaksin tersedia,Desinfeksi rutin; Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun lesu/lemah - batuk ngorok cairan hidung mata mulut berlendir -,bakteri_lain
Lymphoid Leukosis (LL),Virus (Retrovirus),Virus,Nafsu makan menurun; Warna Biru; Lesu/Lemah; Anemia; Penurunan Berat Badan,-,-,-,Kontak langsung antar unggas terinfeksi; Media lingkungan (pakan); Penularan vertikal melalui telur,Desinfeksi kandang dan peralatan,beberapa jam; 11–12 hari,Vaksin tersedia,Desinfeksi rutin; Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,nafsu makan menurun warna biru lesu/lemah anemia penurunan berat badan - - -,bakteri_lain
Marek's Disease (MD),Virus (Herpesvirus),Virus,Lesu/Lemah; Anemia; Penurunan Berat Badan,Sesak Napas,Diare,Kelumpuhan; Tortikolis (leher terpuntir),Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang); Penularan vertikal melalui telur,Tidak ada pengobatan spesifik,-,Vaksin tersedia,Pelaporan ke dinas terkait,Rendah (5%),Sedang,Tidak,Manual Penyakit Unggas Kementan,lesu/lemah anemia penurunan berat badan diare sesak napas kelumpuhan tortikolis (leher terpuntir),bakteri_lain
Newcastle Disease (ND),Virus (Paramyxovirus),Virus,Produksi Telur Menurun; Lesu/Lemah,Batuk; Bersin; Ngorok,Diare,Kelumpuhan; Tortikolis (leher terpuntir); Gangguan Saraf,"Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang); Media lingkungan (pakan, debu); Vektor serangga; Lalu lintas / perdagangan unggas","Tidak ada pengobatan spesifik; Terapi suportif (vitamin, mineral, antibiotik, pemanas tambahan)",9–12 hari,Vaksin tersedia; Monitoring titer antibodi pasca vaksinasi,Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun lesu/lemah diare batuk bersin ngorok kelumpuhan tortikolis (leher terpuntir) gangguan saraf,virus
Swollen Head Syndrome (SHS),Virus (Pneumovirus + Adenovirus),Virus,Ayam Terlihat Sayu; Produksi Telur Menurun,-,-,Kehilangan Keseimbangan,Paparan sekresi/ekskresi unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (kandang); Media lingkungan (pakan); Penularan vertikal melalui telur,-,-,Vaksin tersedia,Pelaporan ke dinas terkait,Sangat tinggi (100%),Sangat tinggi,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu produksi telur menurun - - kehilangan keseimbangan,virus
Viral Arthritis,Virus (Reovirus),Virus,Produksi Telur Menurun; Warna Biru; Lesu/Lemah,-,-,Kelumpuhan,Paparan sekresi/ekskresi unggas terinfeksi; Penularan vertikal melalui telur,Tidak ada pengobatan spesifik,-,Vaksin tersedia; Vaksin aktif (live); Monitoring titer antibodi pasca vaksinasi,Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun warna biru lesu/lemah - - kelumpuhan,bakteri_lain
Chlamydiosis,Bakteri (Chlamydia psittaci),Bakterial,Ayam Terlihat Sayu; Nafsu makan menurun; Pembengkakan Kepala; Demam; Penurunan Berat Badan,-,Diare; Feses Hijau; Penurunan Nafsu Makan,-,Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang); Media lingkungan (debu); Hewan carrier (unggas air / burung liar); Vektor serangga,Peningkatan biosekuriti,-,-,Biosekuriti ketat; Pelaporan ke dinas terkait,-,Sangat tinggi,Ya,Manual Penyakit Unggas Kementan,ayam terlihat sayu nafsu makan menurun pembengkakan kepala demam penurunan berat badan diare feses hijau penurunan nafsu makan - -,bakteri_lain
Colibacillosis,Bakteri (Escherichia coli),Bakterial,Nafsu makan menurun; Lesu/Lemah,-,Penurunan Nafsu Makan,-,"Kontak langsung antar unggas terinfeksi; Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang, peralatan); Media lingkungan (pakan, air minum, debu); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur",Desinfeksi kandang dan peralatan; Terapi suportif (antibiotik),-,-,Desinfeksi rutin; Pelaporan ke dinas terkait,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,nafsu makan menurun lesu/lemah penurunan nafsu makan - -,bakteri_lain
Coryza / Snot,Bakteri (Haemophilus paragallinarum),Bakterial,-,Ngorok,Diare,-,Kontak langsung antar unggas terinfeksi; Benda terkontaminasi (kandang); Media lingkungan (pakan),Terapi suportif (antibiotik),-,Vaksin tersedia,Biosekuriti ketat; Pelaporan ke dinas terkait,Tinggi (40%),Sedang,Tidak,Manual Penyakit Unggas Kementan,- diare ngorok -,bakteri_lain
Fowl Typhoid,Bakteri (Salmonella gallinarum),Bakterial,Ayam Terlihat Sayu; Lesu/Lemah; Anemia; Bulu Kusut,Sesak Napas,Diare,-,Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur; Vektor serangga,Peningkatan biosekuriti,-,Vaksin tersedia; Vaksin inaktif,Biosekuriti ketat,Sangat tinggi (100%),Sangat tinggi,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu lesu/lemah anemia bulu kusut diare sesak napas -,bakteri_lain
Kolera Unggas,Bakteri (Pasteurella multocida),Bakterial,-,Sesak Napas,Diare,Kelumpuhan; Tortikolis (leher terpuntir),Paparan sekresi/ekskresi unggas terinfeksi; Hewan carrier (unggas air / burung liar),Terapi suportif (antibiotik),-,Vaksin tersedia,Pelaporan ke dinas terkait,Sedang (20%),Sedang,Tidak,Manual Penyakit Unggas Kementan,- diare sesak napas kelumpuhan tortikolis (leher terpuntir),bakteri_lain
Paratifoid,Bakteri (Salmonella typhimurium),Bakterial,Ayam Terlihat Sayu; Bulu Kusut,-,Diare,-,Paparan sekresi/ekskresi unggas terinfeksi; Media lingkungan (pakan); Hewan carrier (unggas air / burung liar),-,-,Vaksin tersedia,-,Tinggi (>40%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu bulu kusut diare - -,bakteri_lain
Pullorum,Bakteri (Salmonella pullorum),Bakterial,Ayam Terlihat Sayu; Nafsu makan menurun; Produksi Telur Menurun; Lesu/Lemah; Anemia; Penurunan Berat Badan,-,Diare,Kelumpuhan,"Kontak langsung antar unggas terinfeksi; Benda terkontaminasi (kandang, peralatan); Media lingkungan (debu); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur",-,-,-,Pelaporan ke dinas terkait,Sangat rendah (<5%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu nafsu makan menurun produksi telur menurun lesu/lemah anemia penurunan berat badan diare - kelumpuhan,bakteri_lain
Chronic Respiratory Disease (CRD),Mycoplasma (Mycoplasma gallisepticum),Mykoplasmosis,Ayam Terlihat Sayu; Pembengkakan Muka,Batuk,-,-,"Kontak langsung antar unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (kandang); Media lingkungan (air minum, debu); Hewan carrier (unggas air / burung liar); Penularan vertikal melalui telur",-,-,Vaksin tersedia; Vaksin inaktif,Pelaporan ke dinas terkait,Rendah (<10%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu pembengkakan muka - batuk -,bakteri_lain
Ascariasis pada Ayam,Parasit (Ascaridia galli),Parasit,Produksi Telur Menurun; Lesu/Lemah; Anemia; Penurunan Berat Badan,-,Diare,-,"Paparan sekresi/ekskresi unggas terinfeksi; Melalui saluran pernapasan atau aerosol; Benda terkontaminasi (kandang); Media lingkungan (pakan, air minum); Hewan carrier (unggas air / burung liar); Vektor serangga",Terapi suportif (pemanas tambahan),28–30 hari,-,-,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun lesu/lemah anemia penurunan berat badan diare - -,bakteri_lain
Cacing Mata pada Unggas,Parasit (Oxyspirura mansoni),Parasit,Ayam Terlihat Sayu; Lesu/Lemah,-,-,-,Media lingkungan (pakan); Vektor serangga,-,-,-,-,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu lesu/lemah - - -,bakteri_lain
Gurem,Parasit (Dermanyssus gallinae),Parasit,Produksi Telur Menurun; Lesu/Lemah; Anemia; Gatal,-,-,-,Kontak langsung antar unggas terinfeksi; Benda terkontaminasi (kandang),-,-,Vaksin aktif (live),-,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,produksi telur menurun lesu/lemah anemia gatal - - -,bakteri_lain
Aspergillosis,Jamur (Aspergillus fumigatus),Mikal,Ayam Terlihat Sayu; Nafsu makan menurun; Penurunan Berat Badan,Batuk; Sesak Napas,-,Kelumpuhan; Gangguan Saraf,"Melalui saluran pernapasan atau aerosol; Media lingkungan (pakan, air minum, debu)",Desinfeksi kandang dan peralatan; Terapi suportif (antibiotik),1–2 hari,Vaksin tersedia; Belum tersedia vaksin,Desinfeksi rutin,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu nafsu makan menurun penurunan berat badan - batuk sesak napas kelumpuhan gangguan saraf,bakteri_lain
Candidiasis,Jamur (Candida albicans),Mikal,Bulu Kusut,-,Diare,-,"Media lingkungan (pakan, air minum)",Terapi suportif (antibiotik),-,-,-,-,Sedang,Tidak,Manual Penyakit Unggas Kementan,bulu kusut diare - -,virus
Coccidiosis,Protozoa (Eimeria spp.),Protozoa,Ayam Terlihat Sayu; Nafsu makan menurun; Anemia; Bulu Kusut; Penurunan Berat Badan,-,Diare; Feses Merah; Penurunan Nafsu Makan,-,"Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang); Media lingkungan (pakan, air minum); Hewan carrier (unggas air / burung liar); Vektor serangga",-,4–6 hari,Vaksin tersedia; Monitoring titer antibodi pasca vaksinasi,Biosekuriti ketat,Sangat tinggi (100%),Sedang,Tidak,Manual Penyakit Unggas Kementan,ayam terlihat sayu nafsu makan menurun anemia bulu kusut penurunan berat badan diare feses merah penurunan nafsu makan - -,eimeria
Leucocytozoonosis,Protozoa (Leucocytozoon caulleryi),Protozoa,Produksi Telur Menurun; Lesu/Lemah; Anemia,-,Diare,Gangguan Saraf,Media lingkungan (pakan); Hewan carrier (unggas air / burung liar); Vektor serangga,-,-,-,-,-,Sangat tinggi,Ya,Manual Penyakit Unggas Kementan,produksi telur menurun lesu/lemah anemia diare - gangguan saraf,bakteri_lain
Plasmodiosis Unggas,Protozoa (Plasmodium gallinaceum),Protozoa,Lesu/Lemah; Anemia,-,-,-,Benda terkontaminasi (kandang); Media lingkungan (pakan); Vektor serangga,-,-,-,-,Sangat tinggi (90%),Sedang,Tidak,Manual Penyakit Unggas Kementan,lesu/lemah anemia - - -,bakteri_lain
Ringworm,Jamur (Microsporum / Trichophyton),Mikal,Nafsu makan menurun; Lesu/Lemah,-,-,-,Paparan sekresi/ekskresi unggas terinfeksi; Benda terkontaminasi (kandang),Desinfeksi kandang dan peralatan,-,-,Desinfeksi rutin; Pelaporan ke dinas terkait,-,Sangat tinggi,Ya,Manual Penyakit Unggas Kementan,nafsu makan menurun lesu/lemah - - -,bakteri_lain
